,mean_loss,mean_loss,mean_loss,mean_loss,relative_to_baseline,relative_to_baseline,relative_to_baseline,relative_to_baseline,improvement_vs_baseline,improvement_vs_baseline,improvement_vs_baseline,improvement_vs_baseline
,naive_ma22,har,garch,vix_implied,naive_ma22,har,garch,vix_implied,naive_ma22,har,garch,vix_implied
forecast_origin,,,,,,,,,,,,
2014,0.32177979457919537,0.19759884426913787,0.343544093608675,0.3881038518941893,1.0,0.61408095721966,1.0676372457069334,1.206116289562956,0.0,0.38591904278033995,-0.06763724570693341,-0.20611628956295602
2015,0.3459791027937325,0.22379741124599153,0.3032314094152208,0.39825139878273114,1.0,0.6468523949535072,0.876444290902745,1.1510851249884955,0.0,0.3531476050464928,0.123555709097255,-0.15108512498849547
2016,0.17811392232072612,0.16440946635956033,0.3581701443828396,0.44521104332732764,1.0,0.9230579183109086,2.0109048170748265,2.499585869125071,0.0,0.07694208168909145,-1.0109048170748265,-1.4995858691250712
2017,0.10026670109270863,0.24900870936096609,0.5023868218045242,0.44759598237833675,1.0,2.4834636688677687,5.01050514607045,4.464054142605932,0.0,-1.4834636688677687,-4.01050514607045,-3.4640541426059324
2018,1.0204688346946895,0.4492754967863974,0.3128563951442399,0.3230154601722596,1.0,0.4402638096447253,0.30658103854572133,0.3165363303514325,0.0,0.5597361903552747,0.6934189614542787,0.6834636696485674
2019,0.35938218177420844,0.19054861014151694,0.26716444968300573,0.34642100768042366,1.0,0.5302116237394158,0.743399264716076,0.96393484498926,0.0,0.46978837626058423,0.256600735283924,0.036065155010740035
2020,1.5027158247981578,1.3050155446394527,0.9014980871491942,0.8260031738608766,1.0,0.8684380127658136,0.599912553173706,0.5496735711636124,0.0,0.13156198723418644,0.40008744682629405,0.4503264288363876
2021,0.2974402424446867,0.2008708958288568,0.2559010529270821,0.5338234280634897,1.0,0.675331939544837,0.8603444201894456,1.7947249628226143,0.0,0.32466806045516305,0.13965557981055443,-0.7947249628226143
2022,0.22973272663786307,0.22532003971831374,0.12806559646252771,0.15570001955914023,1.0,0.9807920839832924,0.5574547359306046,0.6777441848961138,0.0,0.01920791601670757,0.4425452640693954,0.32225581510388623
2023,0.08337907265114275,0.11425236011218433,0.17481952329384765,0.2669677084461872,1.0,1.3702762153546024,2.0966834690677225,3.201855093341918,0.0,-0.3702762153546024,-1.0966834690677225,-2.201855093341918
2024,0.3682503868819114,0.17042307594857514,0.20099474692107563,0.2614559735789378,1.0,0.462791301841118,0.5458100088446874,0.7099951090147262,0.0,0.537208698158882,0.45418999115531256,0.2900048909852738
2025,0.4032516139371554,0.42720263445866863,0.3486325109927128,0.3942139361970242,1.0,1.0593947294783694,0.8645532936342948,0.9775879936303499,0.0,-0.059394729478369435,0.13544670636570522,0.022412006369650128
2026,0.2511983798597934,0.07741246133390413,0.11427626120459235,0.24631331008647808,1.0,0.30817261392016926,0.45492435607417436,0.9805529407632251,0.0,0.6918273860798307,0.5450756439258256,0.019447059236774922
